date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,1.0,-4.0,15.0,2.0,-1.0,0.0
2020-02-16,9.0,-4.0,12.0,7.0,1.0,-1.0
2020-02-17,13.0,-3.0,91.0,-13.0,-31.0,7.0
2020-02-18,0.0,-7.0,-11.0,-3.0,-9.0,3.0
2020-02-19,4.0,-2.0,16.0,0.0,-5.0,1.0
2020-02-20,4.0,-4.0,7.0,1.0,-4.0,1.0
2020-02-21,2.0,-7.0,1.0,-1.0,-3.0,2.0
2020-02-22,8.0,-4.0,89.0,5.0,2.0,-1.0
2020-02-23,12.0,-2.0,106.0,8.0,4.0,-1.0
2020-02-24,7.0,-2.0,87.0,3.0,4.0,-1.0
2020-02-25,4.0,-3.0,18.0,5.0,2.0,0.0
2020-02-26,8.0,-1.0,7.0,4.0,2.0,-1.0
2020-02-27,7.0,-3.0,5.0,3.0,2.0,0.0
2020-02-28,8.0,-1.0,2.0,7.0,4.0,-1.0
2020-02-29,7.0,-2.0,31.0,5.0,2.0,-1.0
2020-03-01,13.0,7.0,-3.0,9.0,5.0,-1.0
2020-03-02,9.0,7.0,34.0,-1.0,3.0,-1.0
2020-03-03,9.0,6.0,61.0,2.0,2.0,-1.0
2020-03-04,9.0,3.0,21.0,-1.0,1.0,-1.0
2020-03-05,8.0,3.0,54.0,4.0,2.0,-1.0
2020-03-06,4.0,-3.0,8.0,-1.0,3.0,1.0
2020-03-07,5.0,-1.0,35.0,-3.0,2.0,0.0
2020-03-08,11.0,-1.0,68.0,4.0,4.0,-1.0
2020-03-09,13.0,3.0,165.0,-3.0,2.0,-1.0
2020-03-10,8.0,2.0,65.0,-6.0,0.0,0.0
2020-03-11,7.0,5.0,56.0,-7.0,-3.0,1.0
2020-03-12,6.0,24.0,33.0,-9.0,-1.0,1.0
2020-03-13,-1.0,34.0,-10.0,-21.0,-3.0,4.0
2020-03-14,-9.0,20.0,98.0,-16.0,-4.0,3.0
2020-03-15,-13.0,6.0,81.0,-21.0,-5.0,4.0
2020-03-16,-8.0,20.0,41.0,-32.0,-22.0,9.0
2020-03-17,-31.0,5.0,-9.0,-40.0,-31.0,14.0
2020-03-18,-28.0,3.0,107.0,-41.0,-33.0,14.0
2020-03-19,-36.0,-1.0,-16.0,-53.0,-36.0,17.0
2020-03-20,-32.0,10.0,55.0,-47.0,-35.0,18.0
2020-03-21,-39.0,0.0,146.0,-43.0,-25.0,11.0
2020-03-22,-42.0,-16.0,62.0,-51.0,-28.0,11.0
2020-03-23,-42.0,-17.0,-22.0,-59.0,-40.0,18.0
2020-03-24,-40.0,-14.0,65.0,-55.0,-44.0,19.0
2020-03-25,-43.0,-19.0,-4.0,-59.0,-46.0,21.0
2020-03-26,-38.0,-11.0,139.0,-55.0,-45.0,19.0
2020-03-27,-39.0,-14.0,136.0,-54.0,-44.0,21.0
2020-03-28,-46.0,-16.0,99.0,-55.0,-35.0,14.0
2020-03-29,-55.0,-30.0,-50.0,-67.0,-37.0,14.0
2020-03-30,-45.0,-22.0,5.0,-62.0,-47.0,20.0
2020-03-31,-41.0,-19.0,64.0,-57.0,-49.0,21.0
2020-04-01,-41.0,-12.0,12.0,-58.0,-49.0,21.0
2020-04-02,-44.0,-14.0,-5.0,-62.0,-50.0,22.0
2020-04-03,-49.0,-16.0,-49.0,-64.0,-50.0,26.0
2020-04-04,-50.0,-16.0,22.0,-58.0,-38.0,15.0
2020-04-05,-50.0,-25.0,4.0,-59.0,-37.0,13.0
2020-04-06,-39.0,-17.0,79.0,-58.0,-50.0,19.0
2020-04-07,-40.0,-17.0,65.0,-60.0,-52.0,21.0
2020-04-08,-46.0,-19.0,-15.0,-64.0,-53.0,23.0
2020-04-09,-49.0,-22.0,-30.0,-68.0,-54.0,24.0
2020-04-10,-44.0,-10.0,-10.0,-63.0,-54.0,25.0
2020-04-11,-45.0,-4.0,45.0,-57.0,-40.0,15.0
2020-04-12,-63.0,-45.0,11.0,-67.0,-43.0,13.0
2020-04-13,-56.0,-39.0,-51.0,-75.0,-54.0,24.0
2020-04-14,-35.0,-13.0,63.0,-61.0,-51.0,20.0
2020-04-15,-36.0,-15.0,11.0,-64.0,-51.0,21.0
2020-04-16,-37.0,-14.0,19.0,-64.0,-51.0,22.0
2020-04-17,-39.0,-15.0,13.0,-64.0,-49.0,23.0
2020-04-18,-54.0,-26.0,-41.0,-68.0,-41.0,17.0
2020-04-19,-38.0,-22.0,53.0,-58.0,-35.0,11.0
2020-04-20,-37.0,-21.0,18.0,-66.0,-50.0,20.0
2020-04-21,-43.0,-24.0,-23.0,-68.0,-51.0,23.0
2020-04-22,-38.0,-16.0,-2.0,-65.0,-51.0,21.0
2020-04-23,-37.0,-16.0,28.0,-64.0,-50.0,21.0
2020-04-24,-45.0,-22.0,-38.0,-69.0,-50.0,26.0
2020-04-25,-38.0,-16.0,139.0,-51.0,-35.0,12.0
2020-04-26,-48.0,-28.0,-44.0,-67.0,-38.0,13.0
2020-04-27,-41.0,-24.0,-33.0,-69.0,-49.0,21.0
2020-04-28,-32.0,-14.0,35.0,-61.0,-49.0,15.0
2020-04-29,-31.0,-15.0,55.0,-59.0,-50.0,19.0
2020-04-30,-39.0,-15.0,-17.0,-62.0,-50.0,22.0
2020-05-01,-35.0,-10.0,23.0,-58.0,-48.0,23.0
2020-05-02,-33.0,-8.0,140.0,-41.0,-32.0,11.0
2020-05-03,-27.0,-12.0,100.0,-41.0,-29.0,8.0
2020-05-04,-26.0,-12.0,56.0,-57.0,-47.0,18.0
2020-05-05,-23.0,-5.0,67.0,-54.0,-47.0,18.0
2020-05-06,-30.0,-11.0,24.0,-57.0,-48.0,19.0
2020-05-07,-30.0,-8.0,71.0,-56.0,-47.0,19.0
2020-05-08,-35.0,-10.0,7.0,-56.0,-46.0,21.0
2020-05-09,-35.0,2.0,16.0,-54.0,-32.0,12.0
2020-05-10,-26.0,-6.0,53.0,-47.0,-26.0,8.0
2020-05-11,-33.0,-19.0,23.0,-58.0,-45.0,18.0
2020-05-12,-26.0,-8.0,72.0,-53.0,-45.0,17.0
2020-05-13,-25.0,-9.0,77.0,-51.0,-45.0,17.0
2020-05-14,-23.0,-8.0,139.0,-49.0,-45.0,17.0
2020-05-15,-27.0,-9.0,106.0,-51.0,-44.0,19.0
2020-05-16,-26.0,-6.0,232.0,-42.0,-28.0,8.0
2020-05-17,-24.0,-12.0,107.0,-46.0,-23.0,8.0
2020-05-18,-23.0,-12.0,74.0,-52.0,-42.0,16.0
2020-05-19,-19.0,-6.0,102.0,-51.0,-43.0,16.0
2020-05-20,-17.0,-5.0,128.0,-51.0,-43.0,15.0
2020-05-21,-17.0,-4.0,149.0,-49.0,-43.0,16.0
2020-05-22,-18.0,-2.0,192.0,-46.0,-43.0,16.0
2020-05-23,-32.0,-7.0,42.0,-54.0,-27.0,11.0
2020-05-24,-13.0,-6.0,203.0,-40.0,-20.0,4.0
2020-05-25,-18.0,-12.0,212.0,-61.0,-73.0,22.0
2020-05-26,-17.0,-8.0,162.0,-48.0,-41.0,14.0
2020-05-27,-13.0,-5.0,164.0,-46.0,-41.0,14.0
2020-05-28,-18.0,-6.0,100.0,-47.0,-41.0,16.0
2020-05-29,-22.0,-8.0,71.0,-49.0,-39.0,17.0
2020-05-30,-19.0,-4.0,250.0,-37.0,-16.0,7.0
2020-05-31,-10.0,-5.0,191.0,-37.0,-12.0,5.0
2020-06-01,-6.0,-1.0,133.0,-43.0,-37.0,12.0
2020-06-02,-11.0,-2.0,126.0,-42.0,-38.0,13.0
2020-06-03,-10.0,0.0,111.0,-46.0,-39.0,13.0
2020-06-04,-7.0,0.0,235.0,-40.0,-39.0,13.0
2020-06-05,-15.0,-5.0,112.0,-39.0,-38.0,15.0
2020-06-06,-17.0,-5.0,216.0,-41.0,-17.0,6.0
2020-06-07,-7.0,-4.0,173.0,-35.0,-13.0,4.0
2020-06-08,-3.0,-4.0,236.0,-40.0,-36.0,11.0
2020-06-09,-3.0,-1.0,218.0,-39.0,-37.0,11.0
2020-06-10,-4.0,-3.0,181.0,-39.0,-38.0,12.0
2020-06-11,-14.0,-8.0,53.0,-44.0,-38.0,14.0
2020-06-12,-8.0,-3.0,246.0,-37.0,-36.0,12.0
2020-06-13,-9.0,-1.0,388.0,-23.0,-13.0,3.0
2020-06-14,-1.0,-6.0,264.0,-19.0,-9.0,3.0
2020-06-15,-2.0,-3.0,197.0,-38.0,-36.0,10.0
2020-06-16,1.0,0.0,239.0,-33.0,-36.0,10.0
2020-06-17,-1.0,-1.0,236.0,-36.0,-37.0,10.0
2020-06-18,-1.0,-1.0,263.0,-35.0,-37.0,10.0
2020-06-19,-5.0,1.0,275.0,-33.0,-36.0,9.0
2020-06-20,-6.0,6.0,436.0,-23.0,-14.0,2.0
2020-06-21,-2.0,0.0,285.0,-20.0,-8.0,0.0
2020-06-22,-2.0,-6.0,238.0,-37.0,-38.0,10.0
2020-06-23,1.0,-1.0,254.0,-34.0,-38.0,10.0
2020-06-24,-2.0,-4.0,196.0,-36.0,-37.0,11.0
2020-06-25,0.0,-1.0,297.0,-31.0,-36.0,10.0
2020-06-26,-6.0,-2.0,260.0,-32.0,-36.0,11.0
2020-06-27,-15.0,-8.0,237.0,-26.0,-15.0,5.0
2020-06-28,-4.0,-7.0,238.0,-20.0,-7.0,3.0
2020-06-29,-2.0,-5.0,157.0,-39.0,-37.0,11.0
2020-06-30,0.0,-1.0,146.0,-36.0,-37.0,11.0
2020-07-01,2.0,5.0,156.0,-37.0,-38.0,10.0
2020-07-02,13.0,13.0,385.0,-26.0,-39.0,8.0
2020-07-03,4.0,21.0,298.0,-29.0,-57.0,15.0
2020-07-04,-26.0,-7.0,464.0,-29.0,-33.0,2.0
2020-07-05,-7.0,-11.0,293.0,-15.0,-14.0,1.0
2020-07-06,5.0,-1.0,353.0,-34.0,-44.0,10.0
